,date,cases_roll_avg,deaths_roll_avg,first_roll_avg,second_roll_avg,third_roll_avg,hospitalCases_roll_avg,newAdmissions_roll_avg,slope_cases_roll_avg,slope
225,2021-08-19,3276.714285714286,13.285714285714286,7141.571428571428,23987.14285714286,22.142857142857142,1146.142857142857,138.42857142857142,-39.71428571428578,-0.012120155207742967
226,2021-08-18,3316.4285714285716,11.857142857142858,6940.857142857143,24418.0,22.857142857142858,1134.4285714285713,139.42857142857142,-44.0,-0.01326728408356666
227,2021-08-17,3360.4285714285716,13.285714285714286,6800.857142857143,24828.0,22.428571428571427,1119.5714285714287,131.71428571428572,-38.57142857142844,-0.011478127789822688
228,2021-08-16,3399.0,13.0,6682.571428571428,25223.0,21.142857142857142,1103.4285714285713,128.71428571428572,-5.4285714285715585,-0.0015971083932249362
229,2021-08-15,3404.4285714285716,12.428571428571429,6466.571428571428,25581.14285714286,23.285714285714285,1088.857142857143,122.28571428571429,-31.57142857142844,-0.00927363518106664
230,2021-08-14,3436.0,10.571428571428571,6167.142857142857,26113.0,23.0,1072.0,123.0,-84.85714285714266,-0.024696490936304615
231,2021-08-13,3520.8571428571427,10.714285714285714,5785.0,26264.285714285714,22.714285714285715,1059.5714285714287,122.71428571428571,-56.0,-0.015905217885255216
232,2021-08-12,3576.8571428571427,9.714285714285714,5603.0,26643.571428571428,22.428571428571427,1047.857142857143,121.85714285714286,-80.85714285714312,-0.02260563942806941
233,2021-08-11,3657.714285714286,9.857142857142858,5580.857142857143,26622.428571428572,21.142857142857142,1040.857142857143,118.28571428571429,-14.857142857142662,-0.004061865333541581
234,2021-08-10,3672.5714285714284,8.285714285714286,5545.714285714285,26668.428571428572,20.142857142857142,1040.0,116.57142857142857,7.0,0.0019060214719153572
235,2021-08-09,3665.5714285714284,8.571428571428571,5395.142857142857,26505.285714285714,20.285714285714285,1038.7142857142858,111.71428571428571,-22.0,-0.006001792743286956
236,2021-08-08,3687.5714285714284,9.0,5376.857142857143,26464.285714285714,21.142857142857142,1040.142857142857,115.0,-9.571428571428896,-0.002595591368690283
237,2021-08-07,3697.1428571428573,10.285714285714286,5366.142857142857,26604.14285714286,22.142857142857142,1042.7142857142858,111.14285714285714,4.4285714285715585,0.0011978361669243009
238,2021-08-06,3692.714285714286,10.0,5304.428571428572,26445.14285714286,21.142857142857142,1045.4285714285713,110.57142857142857,-39.71428571428578,-0.01075476807613449
239,2021-08-05,3732.4285714285716,10.714285714285714,5302.571428571428,26217.571428571428,22.0,1047.0,110.14285714285714,10.71428571428578,0.0028705936387645138
240,2021-08-04,3721.714285714286,11.0,5236.571428571428,25775.285714285714,21.142857142857142,1047.142857142857,109.0,-13.28571428571422,-0.003569783509903253
241,2021-08-03,3735.0,9.714285714285714,5180.571428571428,25488.14285714286,21.285714285714285,1049.4285714285713,112.0,-15.71428571428578,-0.0042073054121247065
242,2021-08-02,3750.714285714286,10.142857142857142,5156.142857142857,25104.85714285714,20.142857142857142,1060.857142857143,113.0,31.42857142857156,0.008379356313083256
243,2021-08-01,3719.285714285714,10.0,5183.0,25305.714285714286,17.428571428571427,1057.5714285714287,114.57142857142857,49.42857142857156,0.013289802189360512
244,2021-07-31,3669.8571428571427,8.285714285714286,5168.714285714285,25311.14285714286,17.0,1058.7142857142858,117.71428571428571,53.428571428571104,0.014558760558994034
245,2021-07-30,3616.4285714285716,7.857142857142857,5190.857142857143,25426.285714285714,17.285714285714285,1056.5714285714287,119.42857142857143,56.28571428571422,0.01556389492395811
246,2021-07-29,3560.1428571428573,7.571428571428571,5267.142857142857,25506.85714285714,15.428571428571429,1043.4285714285713,119.14285714285714,47.14285714285734,0.013241844227759775
247,2021-07-28,3513.0,6.0,5406.571428571428,25974.428571428572,15.714285714285714,1040.7142857142858,118.14285714285714,16.57142857142844,0.004717172949453015
248,2021-07-27,3496.4285714285716,6.571428571428571,5506.285714285715,26281.85714285714,16.285714285714285,1028.857142857143,119.85714285714286,-7.857142857142662,-0.0022471910112358993
249,2021-07-26,3504.285714285714,6.0,5597.428571428572,26650.571428571428,17.571428571428573,1000.2857142857143,128.85714285714286,-26.857142857143117,-0.0076640847941297115
250,2021-07-25,3531.1428571428573,5.428571428571429,5615.571428571428,26649.428571428572,17.857142857142858,981.2857142857143,129.85714285714286,-64.0,-0.018124443725220485
251,2021-07-24,3595.1428571428573,5.857142857142857,5746.428571428572,27121.428571428572,17.285714285714285,955.2857142857143,131.28571428571428,-81.57142857142844,-0.02268934276404669
252,2021-07-23,3676.714285714286,5.857142857142857,5928.428571428572,27738.85714285714,18.571428571428573,921.7142857142857,128.14285714285714,-58.85714285714266,-0.01600808175000966
253,2021-07-22,3735.5714285714284,6.428571428571429,6050.142857142857,28237.0,19.428571428571427,893.1428571428571,129.85714285714286,-117.0,-0.03132050938850434
254,2021-07-21,3852.5714285714284,5.857142857142857,6236.142857142857,28772.714285714286,21.142857142857142,848.8571428571429,132.71428571428572,-179.14285714285734,-0.0464995550281816
255,2021-07-20,4031.714285714286,5.285714285714286,6292.571428571428,28473.85714285714,20.714285714285715,800.4285714285714,131.28571428571428,-298.99999999999955,-0.07416200127560048
