areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
region,London,E12000007,2021-02-23,45903,1784243,1409,71076,1,64
region,London,E12000007,2021-02-22,23681,1738340,802,69667,0,63
region,London,E12000007,2021-02-21,14810,1714659,142,68865,0,63
region,London,E12000007,2021-02-20,40812,1699849,273,68723,2,63
region,London,E12000007,2021-02-19,46344,1659037,980,68450,3,61
region,London,E12000007,2021-02-18,50404,1612693,1190,67470,4,58
region,London,E12000007,2021-02-17,55486,1562289,922,66280,3,54
region,London,E12000007,2021-02-16,44593,1506803,544,65358,2,51
region,London,E12000007,2021-02-15,25974,1462210,217,64814,1,49
region,London,E12000007,2021-02-14,29127,1436236,63,64597,0,48
region,London,E12000007,2021-02-13,38856,1407109,141,64534,1,48
region,London,E12000007,2021-02-12,49445,1368253,338,64393,1,47
region,London,E12000007,2021-02-11,43731,1318808,600,64055,1,46
region,London,E12000007,2021-02-10,34079,1275077,504,63455,1,45
region,London,E12000007,2021-02-09,30073,1240998,287,62951,0,44
region,London,E12000007,2021-02-08,22510,1210925,154,62664,0,44
region,London,E12000007,2021-02-07,19925,1188415,139,62510,0,44
region,London,E12000007,2021-02-06,36139,1168490,91,62371,0,44
region,London,E12000007,2021-02-05,44650,1132351,171,62280,0,44
region,London,E12000007,2021-02-04,42277,1087701,363,62109,1,44
region,London,E12000007,2021-02-03,37501,1045424,294,61746,0,43
region,London,E12000007,2021-02-02,34605,1007923,227,61452,2,43
region,London,E12000007,2021-02-01,33299,973318,336,61225,0,41
region,London,E12000007,2021-01-31,40105,940019,579,60889,0,41
region,London,E12000007,2021-01-30,48409,899914,361,60310,0,41
region,London,E12000007,2021-01-29,55597,851505,496,59949,0,41
region,London,E12000007,2021-01-28,44060,795908,325,59453,0,41
region,London,E12000007,2021-01-27,35987,751848,162,59128,2,41
region,London,E12000007,2021-01-26,31977,715861,155,58966,0,39
region,London,E12000007,2021-01-25,25217,683884,81,58811,0,39
region,London,E12000007,2021-01-24,22835,658667,104,58730,0,39
region,London,E12000007,2021-01-23,44116,635832,135,58626,0,39
region,London,E12000007,2021-01-22,46747,591716,121,58491,1,39
region,London,E12000007,2021-01-21,37760,544969,816,58370,1,38
region,London,E12000007,2021-01-20,39049,507209,641,57554,0,37
region,London,E12000007,2021-01-19,34065,468160,375,56913,1,37
region,London,E12000007,2021-01-18,15809,434095,203,56538,1,36
region,London,E12000007,2021-01-17,16522,418286,106,56335,0,35
region,London,E12000007,2021-01-16,29421,401764,278,56229,0,35
region,London,E12000007,2021-01-15,39756,372343,742,55951,0,35
region,London,E12000007,2021-01-14,38589,332587,1313,55209,1,35
region,London,E12000007,2021-01-13,30319,293998,1935,53896,1,34
region,London,E12000007,2021-01-12,18037,263679,2517,51961,3,33
region,London,E12000007,2021-01-11,13284,245642,3269,49444,1,30
region,London,E12000007,2021-01-10,11250,232358,5007,46175,2,29
region,London,E12000007,2021-01-09,17480,221108,5812,41168,1,27
region,London,E12000007,2021-01-08,25963,203628,9203,35356,1,26
region,London,E12000007,2021-01-07,21205,177665,10511,26153,2,25
region,London,E12000007,2021-01-06,14544,156460,8690,15642,4,23
region,London,E12000007,2021-01-05,9918,141916,3682,6952,2,19
region,London,E12000007,2021-01-04,4495,131998,702,3270,1,17
region,London,E12000007,2021-01-03,863,127503,97,2568,0,16
region,London,E12000007,2021-01-02,3004,126640,134,2471,0,16
region,London,E12000007,2021-01-01,2939,123636,17,2337,0,16
region,London,E12000007,2020-12-31,12141,120697,322,2320,2,16
region,London,E12000007,2020-12-30,14525,108556,321,1998,1,14
region,London,E12000007,2020-12-29,6954,94031,251,1677,1,13
region,London,E12000007,2020-12-28,1097,87077,0,1426,1,12
region,London,E12000007,2020-12-27,988,85980,1,1426,0,11
region,London,E12000007,2020-12-26,814,84992,1,1425,0,11
region,London,E12000007,2020-12-25,195,84178,1,1424,1,11
region,London,E12000007,2020-12-24,2242,83983,0,1423,0,10
region,London,E12000007,2020-12-23,6046,81741,2,1423,3,10
region,London,E12000007,2020-12-22,6857,75695,25,1421,3,7
region,London,E12000007,2020-12-21,7556,68838,3,1396,1,4
region,London,E12000007,2020-12-20,8803,61282,2,1393,1,3
region,London,E12000007,2020-12-19,6913,52479,0,1391,0,2
region,London,E12000007,2020-12-18,10123,45566,14,1391,0,2
region,London,E12000007,2020-12-17,11430,35443,4,1377,0,2
region,London,E12000007,2020-12-16,10980,24013,5,1373,0,2
region,London,E12000007,2020-12-15,4825,13033,8,1368,1,2
region,London,E12000007,2020-12-14,1359,8208,10,1360,1,1
region,London,E12000007,2020-12-13,44,6849,0,1350,,
region,London,E12000007,2020-12-12,863,6805,0,1350,,
region,London,E12000007,2020-12-11,1433,5942,0,1350,,
region,London,E12000007,2020-12-10,1409,4509,9,1350,,
region,London,E12000007,2020-12-09,878,3100,9,1341,,
region,London,E12000007,2020-12-08,553,2222,7,1332,,
